# Chunk-averaged data for fix profA and group Cl_atoms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
104000 82 4.999999999999999
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0.0136364 0.000163011
  36 20.4495 0.0863636 0.0010324
  37 20.9495 0.263636 0.00315154
  38 21.4495 0.181818 0.00217347
  39 21.9495 0.113636 0.00135842
  40 22.4495 0.181818 0.00217347
  41 22.9495 0.140909 0.00168444
  42 23.4495 0.00909091 0.000108674
  43 23.9495 0.00909091 0.000108674
  44 24.4495 0.00454545 5.43368e-05
  45 24.9495 0.0954545 0.00114107
  46 25.4495 0.181818 0.00217347
  47 25.9495 0.204545 0.00244516
  48 26.4495 0.0681818 0.000815053
  49 26.9495 0.0363636 0.000434695
  50 27.4495 0.0181818 0.000217347
  51 27.9495 0.118182 0.00141276
  52 28.4495 0.263636 0.00315154
  53 28.9495 0.418182 0.00499899
  54 29.4495 0.540909 0.00646608
  55 29.9495 0.454545 0.00543368
  56 30.4495 0.363636 0.00434695
  57 30.9495 0.218182 0.00260817
  58 31.4495 0.0136364 0.000163011
  59 31.9495 0 0
  60 32.4495 0 0
  61 32.9495 0 0
  62 33.4495 0 0
  63 33.9495 0 0
  64 34.4495 0 0
  65 34.9495 0 0
  66 35.4495 0 0
  67 35.9495 0 0
  68 36.4495 0 0
  69 36.9495 0 0
  70 37.4495 0 0
  71 37.9495 0 0
  72 38.4495 0 0
  73 38.9495 0 0
  74 39.4495 0 0
  75 39.9495 0 0
  76 40.4495 0 0
  77 40.9495 0 0
  78 41.4495 0 0
  79 41.9495 0 0
  80 42.4495 0 0
  81 42.9495 0 0
  82 43.4495 0 0
148000 82 60.00000000000001
  1 2.94949 0 0
  2 3.44949 0 0
  3 3.94949 0 0
  4 4.44949 0 0
  5 4.94949 0 0
  6 5.44949 0 0
  7 5.94949 0 0
  8 6.44949 0 0
  9 6.94949 0 0
  10 7.44949 0 0
  11 7.94949 0 0
  12 8.44949 0 0
  13 8.94949 0 0
  14 9.44949 0 0
  15 9.94949 0 0
  16 10.4495 0 0
  17 10.9495 0 0
  18 11.4495 0 0
  19 11.9495 0 0
  20 12.4495 0 0
  21 12.9495 0 0
  22 13.4495 0 0
  23 13.9495 0 0
  24 14.4495 0.116667 0.00139465
  25 14.9495 0.7625 0.00911501
  26 15.4495 0.120833 0.00144445
  27 15.9495 0 0
  28 16.4495 0 0
  29 16.9495 0 0
  30 17.4495 0 0
  31 17.9495 0 0
  32 18.4495 0 0
  33 18.9495 0 0
  34 19.4495 0 0
  35 19.9495 0.0125 0.000149426
  36 20.4495 0.116667 0.00139465
  37 20.9495 0.2875 0.00343681
  38 21.4495 0.166667 0.00199235
  39 21.9495 0.104167 0.00124522
  40 22.4495 0.166667 0.00199235
  41 22.9495 0.129167 0.00154407
  42 23.4495 0.00833333 9.96176e-05
  43 23.9495 0.00833333 9.96176e-05
  44 24.4495 0.00416667 4.98088e-05
  45 24.9495 0.0875 0.00104598
  46 25.4495 0.166667 0.00199235
  47 25.9495 0.1875 0.0022414
  48 26.4495 0.0625 0.000747132
  49 26.9495 0.0375 0.000448279
  50 27.4495 0.0416667 0.000498088
  51 27.9495 0.154167 0.00184292
  52 28.4495 0.25 0.00298853
  53 28.9495 0.383333 0.00458241
  54 29.4495 0.504167 0.00602686
  55 29.9495 0.4375 0.00522992
  56 30.4495 0.425 0.0050805
  57 30.9495 0.245833 0.00293872
  58 31.4495 0.0125 0.000149426
  59 31.9495 0 0
  60 32.4495 0 0
